ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,38,00000009	0839038400180000	000a00004a430000	8664	Microsoft.GamingApp	8wekyb3d8bbwe	,,NA,False,Live Registry
1,39,00000009	0001000000230000	000a00004a430000	8664	Microsoft.Microsoft3DViewer	8wekyb3d8bbwe	,,NA,False,Live Registry
1,40,00000009	00000047c8f10000	000a000047ba0000	8664	Microsoft.Todos	8wekyb3d8bbwe	,,NA,False,Live Registry
1,41,00000009	0001000000370000	000a000055f00000	8664	Microsoft.WindowsSoundRecorder	8wekyb3d8bbwe	,,NA,False,Live Registry
1,42,00000009	0004000011990000	000a00004a430000	8664	Microsoft.MicrosoftStickyNotes	8wekyb3d8bbwe	,,NA,False,Live Registry
1,43,0000000b	000a00004cb803e8	000c000000000000	8664	1527c705-839a-4832-9118-54d4Bd6a0c89	cw5n1h2txyewy	neutral,,NA,False,Live Registry
1,44,0000000b	000a00004cb803e8	000c000000000000	8664	E2A4F912-2574-4A75-9BB0-0D023378592B	cw5n1h2txyewy	neutral,,NA,False,Live Registry
1,45,0000000b	000a00004c8b03e9	000c000000000000	8664	Microsoft.CredDialogHost	cw5n1h2txyewy	,,NA,False,Live Registry
1,46,0000000b	000a000058410001	000a00003fab0000	8664	Microsoft.PPIProjection	cw5n1h2txyewy	neutral,,NA,False,Live Registry
1,47,0000000b	000a00004c7c03e8	000c000000000000	8664	Microsoft.Windows.CapturePicker	cw5n1h2txyewy	,,NA,False,Live Registry
1,48,C:\Windows\SystemApps\NcsiUwpApp_8wekyb3d8bbwe\Application,2022-06-DD 06:02:39,NA,False,Live Registry
1,49,0000000b	03e8585d00010000	0000000000000000	8664	NcsiUwpApp	8wekyb3d8bbwe	neutral,,NA,False,Live Registry
1,50,0000000b	03e8584100010000	03e8584100010000	8664	NcsiUwpApp	8wekyb3d8bbwe	neutral,,NA,False,Live Registry
1,51,0000000b	000a00004c7c03e8	000a000042990000	8664	Windows.CBSPreview	cw5n1h2txyewy	neutral,,NA,False,Live Registry
1,52,0000000b	0006000200010000	03e84a6101a70000	8664	Windows.PrintDialog	cw5n1h2txyewy	neutral,,NA,False,Live Registry
1,53,C:\Program Files (x86)\Naver\Naver Whale\Application\3.14.134.62\whale.exe,2022-05-DD 08:10:31,NA,False,Live Registry
1,54,C:\Program Files\Norton Security\Engine32\22.22.4.11\nuPerfScan.exe,2022-05-DD 09:47:14,NA,False,Live Registry
1,55,C:\Windows\System32\wuapihost.exe,2022-05-DD 05:19:14,NA,False,Live Registry
1,56,00000000	000f00530d510000	000a000047ba0000	8664	Microsoft.SkypeApp	kzf8qxf38zg5c	,,NA,False,Live Registry
1,57,C:\Program Files\WindowsApps\Microsoft.YourPhone_1.22051.113.0_x64__8wekyb3d8bbwe\YourPhoneServer\YourPhoneServer.exe,2022-06-DD 07:35:36,NA,False,Live Registry
1,58,00000000	000f00530d510000	0000000000000000	8664	Microsoft.SkypeApp	kzf8qxf38zg5c	,,NA,False,Live Registry
1,59,C:\Windows\System32\SystemSettingsBroker.exe,2022-05-DD 05:19:10,NA,False,Live Registry
1,60,C:\WINDOWS\system32\wbem\wmic.exe,2022-05-DD 02:53:00,NA,False,Live Registry
1,61,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe,2022-05-DD 10:10:27,NA,False,Live Registry
1,62,C:\Program Files\Intel\SUR\QUEENCREEK\Updater\bin\IntelSoftwareAssetManagerService.exe,2021-12-DD 12:40:44,NA,False,Live Registry
1,63,C:\WINDOWS\system32\sc.exe,2022-05-DD 05:20:02,NA,False,Live Registry
1,64,C:\Program Files\Intel\SUR\QUEENCREEK\x64\esrv.exe,2022-02-DD 01:03:20,NA,False,Live Registry
1,65,C:\Program Files\Intel\SUR\QUEENCREEK\x64\task.exe,2022-02-DD 01:03:22,NA,False,Live Registry
1,66,C:\WINDOWS\System32\Wscript.exe,2022-05-DD 05:19:43,NA,False,Live Registry
1,67,C:\WINDOWS\System32\LocationNotificationWindows.exe,2022-05-DD 05:20:10,NA,False,Live Registry
1,68,C:\WINDOWS\system32\usoclient.exe,2022-05-DD 05:19:26,NA,False,Live Registry
1,69,C:\Program Files (x86)\LG Software\LG Update Center\UCCounting.exe,2021-11-DD 08:14:06,NA,False,Live Registry
1,70,C:\Windows\SysWOW64\schtasks.exe,2022-05-DD 05:19:49,NA,False,Live Registry
1,71,C:\Windows\System32\schtasks.exe,2022-05-DD 05:19:49,NA,False,Live Registry
1,72,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,2022-05-DD 05:20:11,NA,False,Live Registry
1,73,C:\Program Files (x86)\LG Software\LG Update Center\Support\SSD\DiskAnalyzer.exe,2013-01-DD 06:54:46,NA,False,Live Registry
1,74,C:\Program Files\Docker\Docker\resources\com.docker.wsl-distro-proxy.exe,2022-01-DD 04:34:17,NA,False,Live Registry
1,75,C:\Program Files (x86)\KTSpeedClient\jre\bin\javaw.exe,2018-10-DD 04:39:02,NA,False,Live Registry
1,76,C:\Program Files (x86)\KTSpeedClient\kt-speed-client.exe,2021-10-DD 12:39:54,NA,False,Live Registry
1,77,C:\Program Files\Docker\Docker\resources\bin\com.docker.cli.exe,2022-01-DD 04:33:49,NA,False,Live Registry
1,78,C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe,2021-04-DD 04:24:40,NA,False,Live Registry
1,79,C:\Program Files\Docker\Docker\resources\com.docker.proxy.exe,2022-01-DD 04:34:15,NA,False,Live Registry
1,80,C:\Program Files\Docker\Docker\resources\bin\docker.exe,2022-01-DD 04:33:56,NA,False,Live Registry
1,81,00000009	000100112abd0000	0000000000000000	8664	Microsoft.DesktopAppInstaller	8wekyb3d8bbwe	,,NA,False,Live Registry
1,82,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.17.10941.0_x64__8wekyb3d8bbwe\WindowsPackageManagerServer.exe,2022-04-DD 12:40:52,NA,False,Live Registry
1,83,00000009	000100112abd0000	000a000055f00000	8664	Microsoft.DesktopAppInstaller	8wekyb3d8bbwe	,,NA,False,Live Registry
1,84,C:\Program Files\Docker\Docker\resources\vpnkit.exe,2022-01-DD 04:34:27,NA,False,Live Registry
1,85,C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe,2020-11-DD 01:01:16,NA,False,Live Registry
1,86,C:\Program Files\Docker\Docker\resources\vpnkit-bridge.exe,2022-01-DD 04:34:25,NA,False,Live Registry
1,87,C:\Program Files (x86)\LG Software\LG Control Center\LGControlCenterRTManager.exe,2020-08-DD 01:45:38,NA,False,Live Registry
1,88,C:\Windows\System32\mstsc.exe,2022-05-DD 05:20:15,NA,False,Live Registry
1,89,C:\Users\rever\AppData\Local\SquirrelTemp\Update.exe,2020-06-DD 02:48:30,NA,False,Live Registry
1,90,C:\Program Files (x86)\LG Software\LG OSD\HotkeyManager.exe,2019-10-DD 10:56:58,NA,False,Live Registry
1,91,C:\Program Files (x86)\LG Software\LG Reader Mode\ReaderMode.exe,2019-11-DD 12:17:42,NA,False,Live Registry
1,92,c:\windows\system32\lxss\wslhost.exe,2022-05-DD 12:24:02,NA,False,Live Registry
1,93,C:\Program Files (x86)\HNC\Office 2020\HncUtils\Service\HncUpdateTray.exe,2020-01-DD 06:25:26,NA,False,Live Registry
1,94,C:\Program Files (x86)\Teams Installer\Teams.exe,2020-08-DD 08:42:08,NA,False,Live Registry
1,95,C:\Program Files\Windows Mail\wab.exe,2022-05-DD 05:20:09,NA,False,Live Registry
1,96,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\101.0.1210.53\msedgewebview2.exe,2022-05-DD 07:14:55,NA,False,Live Registry
1,97,C:\Program Files (x86)\PdaNet for Android\PnHelp.exe,2017-07-DD 02:38:20,NA,False,Live Registry
1,98,C:\Program Files (x86)\PdaNet for Android\PdaNetPC.exe,2021-05-DD 06:48:34,NA,False,Live Registry
1,99,C:\WINDOWS\system32\AUDIODG.EXE,2022-05-DD 05:18:59,NA,False,Live Registry
1,100,C:\Users\rever\AppData\Local\JandiApp\app-1.5.2\JandiApp.exe,2022-01-DD 07:32:18,NA,False,Live Registry
1,101,C:\WINDOWS\SysWOW64\runonce.exe,2022-05-DD 05:19:58,NA,False,Live Registry
1,102,C:\Program Files\WindowsApps\MicrosoftTeams_22133.500.1346.3200_x64__8wekyb3d8bbwe\msteams.exe,2022-05-DD 01:04:54,NA,False,Live Registry
1,103,C:\Program Files\WindowsApps\Microsoft.549981C3F5F10_4.2204.13303.0_x64__8wekyb3d8bbwe\Application,2022-04-DD 12:41:55,NA,False,Live Registry
1,104,00000009	0004089c33f70000	0000000000000000	8664	Microsoft.549981C3F5F10	8wekyb3d8bbwe	,,NA,False,Live Registry
1,105,C:\Program Files\WindowsApps\Microsoft.549981C3F5F10_4.2204.13303.0_x64__8wekyb3d8bbwe\Win32Bridge.Server.exe,2022-04-DD 12:41:53,NA,False,Live Registry
1,106,00000009	0004089c33f70000	000a00004a610000	8664	Microsoft.549981C3F5F10	8wekyb3d8bbwe	,,NA,False,Live Registry
1,107,00000000	0003001800d60000	0000000000000000	8664	60145ScottBrogden.ditto-cp	n6b029mg40na2	,,NA,False,Live Registry
1,108,C:\Program Files\WindowsApps\60145ScottBrogden.ditto-cp_3.24.214.0_x86__n6b029mg40na2\Ditto.exe,2021-09-DD 12:42:48,NA,False,Live Registry
1,109,00000000	0003001800d60000	000a000037ec0000	014c	60145ScottBrogden.ditto-cp	n6b029mg40na2	,,NA,False,Live Registry
1,110,C:\Users\rever\AppData\Local\JandiApp\Update.exe,2022-01-DD 07:32:19,NA,False,Live Registry
1,111,C:\Windows\System32\vmwp.exe,2022-05-DD 12:24:00,NA,False,Live Registry
1,112,0000000b	0066000004dd0021	0000000000000000	8664	Microsoft.MicrosoftEdge.Stable	8wekyb3d8bbwe	,,NA,False,Live Registry
1,113,0000000b	0066000004dd0021	000a00004a610000	8664	Microsoft.MicrosoftEdge.Stable	8wekyb3d8bbwe	,,NA,False,Live Registry
1,114,C:\Program Files (x86)\Microsoft\Edge\Application\102.0.1245.33\identity_helper.exe,2022-06-DD 07:10:37,NA,False,Live Registry
1,115,C:\WINDOWS\system32\vmcompute.exe,2022-05-DD 12:23:59,NA,False,Live Registry
1,116,C:\Program Files\Docker\Docker\resources\bin\docker-credential-wincred.exe,2022-01-DD 04:33:52,NA,False,Live Registry
1,117,C:\WINDOWS\SysWOW64\REG.exe,2022-05-DD 05:20:18,NA,False,Live Registry
1,118,C:\WINDOWS\system32\REG.exe,2022-05-DD 05:20:02,NA,False,Live Registry
1,119,C:\Program Files\Docker\Docker\resources\com.docker.desktop-extensions.exe,2022-01-DD 04:34:11,NA,False,Live Registry
1,120,C:\Program Files\Docker\Docker\resources\com.docker.dev-envs.exe,2022-01-DD 04:34:12,NA,False,Live Registry
1,121,C:\WINDOWS\system32\wsl.exe,2022-05-DD 05:20:17,NA,False,Live Registry
1,122,C:\Program Files\Docker\Docker\resources\com.docker.backend.exe,2022-01-DD 04:34:10,NA,False,Live Registry
1,123,C:\Windows\System32\CompPkgSrv.exe,2022-05-DD 05:18:59,NA,False,Live Registry
1,124,C:\Users\rever\AppData\Local\Discord\app-1.0.9004\Discord.exe,2022-02-DD 02:13:24,NA,False,Live Registry
1,125,C:\Program Files (x86)\iniLINE\CrossEX\crossex\CrossEXService.exe,2019-08-DD 05:57:18,NA,False,Live Registry
1,126,C:\Users\rever\AppData\Local\Microsoft\Teams\Update.exe,2021-05-DD 08:57:00,NA,False,Live Registry
1,127,C:\Users\rever\AppData\Local\Discord\Update.exe,2020-12-DD 01:43:28,NA,False,Live Registry
1,128,C:\Users\rever\AppData\Local\Microsoft\OneDrive\22.111.0522.0002\Microsoft.SharePoint.exe,2022-06-DD 07:14:07,NA,False,Live Registry
1,129,C:\Users\rever\AppData\Local\Microsoft\OneDrive\OneDrive.exe,2022-06-DD 07:14:08,NA,False,Live Registry
1,130,C:\Windows\System32\OneDriveSetup.exe,2022-05-DD 10:51:32,NA,False,Live Registry
1,131,C:\Program Files\WindowsApps\Microsoft.WindowsStore_22204.1401.5.0_x64__8wekyb3d8bbwe\StoreDesktopExtension\StoreDesktopExtension.exe,2022-05-DD 08:15:50,NA,False,Live Registry
1,132,C:\Windows\System32\CastSrv.exe,2022-05-DD 05:20:03,NA,False,Live Registry
1,133,C:\Program Files (x86)\LG Software\LG Update Center\UCAlarm.exe,2022-04-DD 03:59:25,NA,False,Live Registry
1,134,C:\Program Files\WindowsApps\Microsoft.XboxIdentityProvider_12.85.31001.0_x64__8wekyb3d8bbwe\Application,2022-03-DD 05:49:44,NA,False,Live Registry
1,135,C:\WINDOWS\System32\SLUI.exe,2022-05-DD 05:19:45,NA,False,Live Registry
1,136,C:\WINDOWS\system32\SppExtComObj.exe,2022-05-DD 05:19:45,NA,False,Live Registry
1,137,00000009	000c005579190000	0000000000000000	8664	Microsoft.XboxIdentityProvider	8wekyb3d8bbwe	,,NA,False,Live Registry
1,138,00000009	000c005579190000	000a000045630000	8664	Microsoft.XboxIdentityProvider	8wekyb3d8bbwe	,,NA,False,Live Registry
1,139,C:\WINDOWS\System32\mobsync.exe,2022-05-DD 05:20:13,NA,False,Live Registry
1,140,C:\WINDOWS\system32\ApplicationFrameHost.exe,2022-05-DD 05:19:27,NA,False,Live Registry
1,141,C:\Program Files\WindowsApps\Microsoft.WindowsStore_22204.1401.5.0_x64__8wekyb3d8bbwe\Application,2022-05-DD 08:15:56,NA,False,Live Registry
1,142,00000009	56bc057900050000	0000000000000000	8664	Microsoft.WindowsStore	8wekyb3d8bbwe	,,NA,False,Live Registry
1,143,C:\WINDOWS\SysWOW64\cmd.exe,2022-05-DD 05:19:54,NA,False,Live Registry
1,144,C:\Program Files (x86)\Naver\Naver Whale\Application\whale.exe,2022-05-DD 08:08:09,NA,False,Live Registry
1,145,C:\Program Files (x86)\LG Software\LG Update Center\UCUpdate.exe,2021-11-DD 08:14:09,NA,False,Live Registry
1,146,C:\WINDOWS\system32\AppHostRegistrationVerifier.exe,2022-05-DD 05:19:13,NA,False,Live Registry
1,147,C:\WINDOWS\system32\ClipRenew.exe,2022-05-DD 10:51:33,NA,False,Live Registry
1,148,C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\Application,2022-06-DD 05:46:23,NA,False,Live Registry
1,149,C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2203.761.0_x64__8wekyb3d8bbwe\Application,2022-03-DD 03:51:33,NA,False,Live Registry
1,150,C:\Windows\System32\fsquirt.exe,2022-05-DD 05:19:34,NA,False,Live Registry
1,151,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\Application,2022-06-DD 05:46:20,NA,False,Live Registry
1,152,C:\Program Files\WindowsApps\MicrosoftTeams_22133.500.1346.3200_x64__8wekyb3d8bbwe\msteamsupdate.exe,2022-05-DD 01:04:54,NA,False,Live Registry
1,153,00000009	567501f405420c80	000a00004a610000	8664	MicrosoftTeams	8wekyb3d8bbwe	,,NA,False,Live Registry
1,154,C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.20970.0_x64__8wekyb3d8bbwe\Application,2022-05-DD 08:11:54,NA,False,Live Registry
1,155,C:\Program Files\WindowsApps\Microsoft.YourPhone_1.22051.113.0_x64__8wekyb3d8bbwe\Application,2022-06-DD 01:11:54,NA,False,Live Registry
1,156,00000009	0001562300710000	000a000053350000	8664	Microsoft.YourPhone	8wekyb3d8bbwe	,,NA,False,Live Registry
1,157,00000009	0001089b02f90000	0000000000000000	8664	Microsoft.WindowsFeedbackHub	8wekyb3d8bbwe	,,NA,False,Live Registry
1,158,00000009	0001089b02f90000	000a000055f00000	8664	Microsoft.WindowsFeedbackHub	8wekyb3d8bbwe	,,NA,False,Live Registry
1,159,0000000b	000a0000585d0001	0000000000000000	8664	Microsoft.Windows.ShellExperienceHost	cw5n1h2txyewy	neutral,,NA,False,Live Registry
1,160,0000000b	002c585d00010000	0000000000000000	8664	Microsoft.MicrosoftEdge	8wekyb3d8bbwe	,,NA,False,Live Registry
1,161,00000009	3e8537f651ea0000	0000000000000000	8664	microsoft.windowscommunicationsapps	8wekyb3d8bbwe	,,NA,False,Live Registry
1,162,00000009	3e8537f651ea0000	000a00004c610000	8664	microsoft.windowscommunicationsapps	8wekyb3d8bbwe	,,NA,False,Live Registry
1,163,00000009	567501f405420c80	0000000000000000	8664	MicrosoftTeams	8wekyb3d8bbwe	,,NA,False,Live Registry
1,164,00000009	0001562300710000	0000000000000000	8664	Microsoft.YourPhone	8wekyb3d8bbwe	,,NA,False,Live Registry
1,165,C:\WINDOWS\System32\SearchProtocolHost.exe,2022-05-DD 05:19:22,NA,False,Live Registry
1,166,C:\Program Files\WindowsApps\22094SynapticsIncorporate.SmartAudio2_1.1.51.0_x86__qt57b6kdvhcfw\SAII\UwpLauncher.exe,2020-10-DD 04:48:15,NA,False,Live Registry
1,167,C:\Program Files\WindowsApps\22094SynapticsIncorporate.SmartAudio2_1.1.51.0_x86__qt57b6kdvhcfw\SAII\SmartAudio.exe,2020-10-DD 04:48:15,NA,False,Live Registry
1,168,00000000	0001000100330000	0000000000000000	8664	22094SynapticsIncorporate.SmartAudio2	qt57b6kdvhcfw	,,NA,False,Live Registry
1,169,C:\Program Files\WindowsApps\22094SynapticsIncorporate.SmartAudio2_1.1.51.0_x86__qt57b6kdvhcfw\CxUIUExe.exe,2020-10-DD 04:48:15,NA,False,Live Registry
1,170,00000000	0001000100330000	000a00003fab0000	014c	22094SynapticsIncorporate.SmartAudio2	qt57b6kdvhcfw	,,NA,False,Live Registry
1,171,C:\Windows\CxSvc\UwpLauncher.exe,2020-10-DD 04:48:15,NA,False,Live Registry
1,172,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,2022-05-DD 05:20:22,NA,False,Live Registry
